Drug Name,ATC 1st Level
glucosyl hesperidin,
Panadol Extra,D - Dermatologicals
Panadol Extra,N - Nervous system
Eliquis,B - Blood and blood forming organs
hCG + estradiol,G - Genito urinary system and sex hormones
hCG + estradiol,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
Vildagliptin,A - Alimentary tract and metabolism
Artemether-lumefantrine (AL),"P - Antiparasitic products, insecticides and repellents"
glucose-6-phosphate,
Panadol,N - Nervous system
Elimite,"P - Antiparasitic products, insecticides and repellents"
hCG,G - Genito urinary system and sex hormones
Vigamox,S - Sensory organs
Vigamox,J - Antiinfectives for systemic use
Artemether-lumefantrine,"P - Antiparasitic products, insecticides and repellents"
glucose peritoneal dialysis solution,
Palopegteriparatide,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
Elfabrio,A - Alimentary tract and metabolism
hA-MSCs,
Victoza,A - Alimentary tract and metabolism
Artemether+Lumefantrine,"P - Antiparasitic products, insecticides and repellents"
glucose oxidase,
Palonosetron hydrochloride,A - Alimentary tract and metabolism
Elevidys,M - Musculo-skeletal system
guselkumab,L - Antineoplastic and immunomodulating agents
Vicadrostat,
Arnica montana extract,
glucose Injection,V - Various
glucose Injection,B - Blood and blood forming organs
Paliperidone Palmitate Injection (PP1M),N - Nervous system
Elelyso,A - Alimentary tract and metabolism
guideline-recommended SoC,V - Various
guideline-recommended SoC,D - Dermatologicals
Viberzi,A - Alimentary tract and metabolism
Arnica Tincture,
glucose 1000 MG,V - Various
glucose 1000 MG,B - Blood and blood forming organs
Palforzia,V - Various
Eldecalcitol treatment in type,
guava extract,
Viagra,G - Genito urinary system and sex hormones
Armored and GPC3-targeted autologous CAR T-cell,L - Antineoplastic and immunomodulating agents
Palcebo,
Elaprase,A - Alimentary tract and metabolism
guarana preparation,
glucose,B - Blood and blood forming organs
glucose,V - Various
glucose,A - Alimentary tract and metabolism
Vevye,L - Antineoplastic and immunomodulating agents
Vevye,S - Sensory organs
Arm,
Paeonia lactiflora root extract,
Efsubaglutide Alfa,
guar gum,A - Alimentary tract and metabolism
glucosamine sulfate,M - Musculo-skeletal system
Verzenio,L - Antineoplastic and immunomodulating agents
Aripiprazole,N - Nervous system
Paecilomyces variotii allergenic extract,V - Various
Efluelda Tetra Pre-filled syringe,L - Antineoplastic and immunomodulating agents
Efluelda Tetra Pre-filled syringe,S - Sensory organs
guanfacine,C - Cardiovascular system
glucosamine hydrochloride,M - Musculo-skeletal system
Verorab®,
Arikayce,S - Sensory organs
Arikayce,D - Dermatologicals
Arikayce,J - Antiinfectives for systemic use
"Paclitaxel, Cisplatin",L - Antineoplastic and immunomodulating agents
Efimosfermin,
guanabenz,
glucosamine,M - Musculo-skeletal system
Verelan,C - Cardiovascular system
Aricept,N - Nervous system
Paclitaxel+Cisplatin(Concurrent Chemoradiotherapy),L - Antineoplastic and immunomodulating agents
Efgartigimod + Telitacicept (2-week interval) group,
guaifenesin / phenylephrine,R - Respiratory system
guaifenesin / phenylephrine,S - Sensory organs
guaifenesin / phenylephrine,C - Cardiovascular system
gluconolactone,B - Blood and blood forming organs
Veozah,G - Genito urinary system and sex hormones
Arginine Hydrochloride,B - Blood and blood forming organs
Paclitaxel+Cisplatin (Neoadjuvant Chemotherapy),L - Antineoplastic and immunomodulating agents
Efgartigimod + Telitacicept (1-week interval) group,
guaifenesin,N - Nervous system
guaifenesin,R - Respiratory system
gluconic acid,
Veopoz,L - Antineoplastic and immunomodulating agents
Arexvy,
Paclitaxel ± ramucirumab,L - Antineoplastic and immunomodulating agents
Efgartigimod,L - Antineoplastic and immunomodulating agents
guaiacol,
glucomannan,
Venous thromboembolism prophylaxis with unfractionated heparin or low molecular weight heparin starting within the first,
Arava,L - Antineoplastic and immunomodulating agents
Paclitaxel and carboplatin,
Effexor,N - Nervous system
guaiac,
glucarpidase,V - Various
Venous thromboembolism prophylaxis with unfractionated heparin or low molecular weight heparin starting on the,
Aqueous cream,
glucose / sodium chloride,B - Blood and blood forming organs
glucose / sodium chloride,V - Various
glucose / sodium chloride,A - Alimentary tract and metabolism
Paclitaxel and Cisplatin/ Carboplatin,
Edarbi®,C - Cardiovascular system
griseofulvin,D - Dermatologicals
Venofer,B - Blood and blood forming organs
Aquaphor,D - Dermatologicals
glucagon Nasal Powder,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
Paclitaxel + Carboplatin/cisplatin for squamous cell carcinoma and pemetrexed + carboplatin/cisplatin for non-squamous cell carcinoma,
Edaravone Dexborneol Sublingual Tablets,N - Nervous system
green bell pepper allergenic extract,V - Various
Venetoclax (VEN),L - Antineoplastic and immunomodulating agents
Aptensio,N - Nervous system
glucagon Injection,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
Paclitaxel + Carboplatin + Radiotherapy,L - Antineoplastic and immunomodulating agents
Echinacea purpurea extract,
grazoprevir,J - Antiinfectives for systemic use
Venetoclax,L - Antineoplastic and immunomodulating agents
Application of minocycline and hyaluronic acid gel.,J - Antiinfectives for systemic use
Application of minocycline and hyaluronic acid gel.,D - Dermatologicals
Application of minocycline and hyaluronic acid gel.,A - Alimentary tract and metabolism
glucagon,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
Paclitaxel (Taxol),
Ebglyss,D - Dermatologicals
grapefruit seed extract,
Velcade,L - Antineoplastic and immunomodulating agents
Application of GLP-1RAs drugs,
glofitamab,L - Antineoplastic and immunomodulating agents
PYRIDOXAL HYDROCHLORIDE,A - Alimentary tract and metabolism
Ebanga,J - Antiinfectives for systemic use
grapefruit peel extract,
Veklury,J - Antiinfectives for systemic use
Apo-levocarb,
glipizide / metformin,A - Alimentary tract and metabolism
PYC-003,
Early start post-transplant vaccination with Gardasil,J - Antiinfectives for systemic use
grape seed oil,
Vegzelma,L - Antineoplastic and immunomodulating agents
Vegzelma,S - Sensory organs
Apixaban,B - Blood and blood forming organs
glipizide,A - Alimentary tract and metabolism
PVT201,
Early receiving G-CSF group,
grape extract,
Vedolizumab SC,L - Antineoplastic and immunomodulating agents
Apitegromab,
glimepiride 4 MG,A - Alimentary tract and metabolism
PTX-100,
Early antibiotic cessation alert,
grape,
Vedolizumab IV,L - Antineoplastic and immunomodulating agents
Apis mellifera preparation,
glimepiride 2 MG,A - Alimentary tract and metabolism
PTOC,
Early Resumption of Oral Anticoagulation Therapy,
granisetron 1 MG,A - Alimentary tract and metabolism
Vebreltinib combined with platinum-based doublet chemotherapy.,
Apatinib and Adebrelimab in Combination With chemotherapy,
glimepiride,A - Alimentary tract and metabolism
PTM-101,
Early N-Acetylcysteine,S - Sensory organs
Early N-Acetylcysteine,V - Various
Early N-Acetylcysteine,R - Respiratory system
granisetron,A - Alimentary tract and metabolism
Vebreltinib + Temozolomide,L - Antineoplastic and immunomodulating agents
Apatinib,L - Antineoplastic and immunomodulating agents
glecaprevir / pibrentasvir,J - Antiinfectives for systemic use
"PTCy (50 mg/kg D3, D4)",
EYP-1901,
gramicidin,S - Sensory organs
gramicidin,R - Respiratory system
Vaxneuvance,J - Antiinfectives for systemic use
Apalutamide (Erleada™),L - Antineoplastic and immunomodulating agents
glecaprevir,J - Antiinfectives for systemic use
"PTCy (25 mg/kg D3, D4)",A - Alimentary tract and metabolism
"PTCy (25 mg/kg D3, D4)","H - Systemic hormonal preparations, excluding sex hormones and insulins"
EYE201,
gradual withdrawal of medication,S - Sensory organs
gradual withdrawal of medication,D - Dermatologicals
Vaxelis,J - Antiinfectives for systemic use
Any biologic treatment for psoriasis,
glatiramer acetate,L - Antineoplastic and immunomodulating agents
PSMA-UCAR T (BRL-302),
EYE103,
gozetotide,V - Various
Vasodilator,
Antitumor therapy,
glatiramer,L - Antineoplastic and immunomodulating agents
PRaG-1(cordycepin tablet),
EXT608,
goserelin acetate,L - Antineoplastic and immunomodulating agents
Vasoconstrictor Agents,
Antiretrovirals,
glasdegib,L - Antineoplastic and immunomodulating agents
PRT-064040 nasal spray,
EXG110 Injection,
goserelin 3.6 MG,L - Antineoplastic and immunomodulating agents
Vaseline,D - Dermatologicals
Antipsychotics plus Levothyroxine Sodium,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
glabridin,
PRS CK STORM,
EXG001-307 injection,
goserelin 10.8 MG,L - Antineoplastic and immunomodulating agents
Vascepa,C - Cardiovascular system
Antipsychotic drugs,
givosiran,A - Alimentary tract and metabolism
PRP,
EVO301,
goserelin,L - Antineoplastic and immunomodulating agents
Varithena,C - Cardiovascular system
Antiplatelet or Anticoagulant Therapy,
givinostat Oral Suspension,M - Musculo-skeletal system
PROTEIN C,B - Blood and blood forming organs
EVO101,
golodirsen,M - Musculo-skeletal system
Varicella vaccine+TIV,J - Antiinfectives for systemic use
Antipac,
givinostat,M - Musculo-skeletal system
PRJ1-3024,
EVE-Treg,
golimumab,L - Antineoplastic and immunomodulating agents
Varicella vaccine+MMR on Day,J - Antiinfectives for systemic use
Antimalarial with or without oral glucocorticosteroid,
ginseng preparation,
PRIM-DJ2727,
EVARREST,B - Blood and blood forming organs
golidocitinib with azacytidine and chidamide,
Varicella vaccine,J - Antiinfectives for systemic use
Antimalarial monoclonal antibodies,
ginger root,
PRF treatment group,
EV,
golidocitinib with PD-1 inhibitors,
Varicella Vaccine,J - Antiinfectives for systemic use
Antihypertensive treatment,
ginger allergenic extract,V - Various
PRF group,
EU-sourced YERVOY®,L - Antineoplastic and immunomodulating agents
goldenseal extract,
Varenicline Tartrate,S - Sensory organs
Varenicline Tartrate,N - Nervous system
Antihypertensive Medication Management,
gilteritinib,L - Antineoplastic and immunomodulating agents
PRF as adjunct to non-surgical mechanical debridement,
EU-Erbitux®,L - Antineoplastic and immunomodulating agents
goat milk allergenic extract,V - Various
Varenicline,S - Sensory organs
Varenicline,N - Nervous system
"Antigen-specific CAR T, CTL and DCvac to treat melanoma.",
CAR-NK cell,
levofloxacin 750 MG,S - Sensory organs
levofloxacin 750 MG,J - Antiinfectives for systemic use
Gene modified anti-IL1RAP Chimeric Antigen Receptor T Cells :5.0×10^8（Third dose group）,
CAR T-cell therapy,
levofloxacin 500 MG,S - Sensory organs
levofloxacin 500 MG,J - Antiinfectives for systemic use
Gene modified anti-IL1RAP Chimeric Antigen Receptor T Cells :2.5×10^8(Second dose group),
CAR T cells,
levofloxacin 5 MG/ML Ophthalmic Solution,S - Sensory organs
levofloxacin 5 MG/ML Ophthalmic Solution,J - Antiinfectives for systemic use
Gene modified anti-IL1RAP Chimeric Antigen Receptor T Cells :1.0×10^8(First dose group),
CAR T cell,
levofloxacin 5 MG/ML,S - Sensory organs
levofloxacin 5 MG/ML,J - Antiinfectives for systemic use
GenSci120,
CAPRYLIC/CAPRIC TRIGLYCERIDE,
levofloxacin,S - Sensory organs
levofloxacin,J - Antiinfectives for systemic use
Gen,
CAPRYLIC/CAPRIC ACID,
levodopa-carbidopa,N - Nervous system
"Gemcitabine, albumin-bound paclitaxel, S-1",L - Antineoplastic and immunomodulating agents
CAPOX regimen,B - Blood and blood forming organs
CAPOX regimen,A - Alimentary tract and metabolism
CAPOX regimen,N - Nervous system
CAPOX regimen,C - Cardiovascular system
levodopa 200 MG,N - Nervous system
"Gemcitabine, albumin-bound paclitaxel",L - Antineoplastic and immunomodulating agents
CAPOX (oxaliplatin/capecitabine),L - Antineoplastic and immunomodulating agents
levodopa,N - Nervous system
"Gemcitabine, Cisplatin",L - Antineoplastic and immunomodulating agents
CAPOX,S - Sensory organs
CAPOX,D - Dermatologicals
CAPOX,C - Cardiovascular system
levocetirizine dihydrochloride,R - Respiratory system
Gemcitabine nab-PaclitaxelLenvatinibTislelizumab,L - Antineoplastic and immunomodulating agents
CAPEOX regimen,B - Blood and blood forming organs
CAPEOX regimen,A - Alimentary tract and metabolism
CAPEOX regimen,N - Nervous system
CAPEOX regimen,C - Cardiovascular system
levocetirizine,R - Respiratory system
Gemcitabine combined with docetaxel,L - Antineoplastic and immunomodulating agents
CAPEOX,S - Sensory organs
CAPEOX,D - Dermatologicals
CAPEOX,C - Cardiovascular system
levocarnitine Oral Solution,A - Alimentary tract and metabolism
"Gemcitabine combined with cisplatin or oxaliplatin, PD-1/L1 and TKI inhibitors",
CANNABIDIOL 100 mg in 1 mL ORAL SOLUTION [Epidiolex],N - Nervous system
levocarnitine,A - Alimentary tract and metabolism
levocarnitine,C - Cardiovascular system
Gemcitabine combined with cisplatin or oxaliplatin,L - Antineoplastic and immunomodulating agents
CANNABIDIOL,N - Nervous system
levobunolol,S - Sensory organs
Gemcitabine alone,L - Antineoplastic and immunomodulating agents
CANDESARTAN CILEXETIL,C - Cardiovascular system
levetiracetam 500 MG,N - Nervous system
Gemcitabine Hydrochloride for Injection,L - Antineoplastic and immunomodulating agents
CAM-101,
levetiracetam 1000 MG,N - Nervous system
Gemcitabine + Cisplatin,L - Antineoplastic and immunomodulating agents
CALCIUM PROPIONATE,
levetiracetam,N - Nervous system
Gemcitabine + BCG,
CALCIUM DOBESILATE,C - Cardiovascular system
levamlodipine,C - Cardiovascular system
GemOx,D - Dermatologicals
CALCIUM DISODIUM EDTA,
levamisole,"P - Antiparasitic products, insecticides and repellents"
Gem/nab-PTX,
CAFFEINE CITRATE,D - Dermatologicals
CAFFEINE CITRATE,N - Nervous system
leuprorelin,L - Antineoplastic and immunomodulating agents
Gecacitinib Hydrochloride Tablets,N - Nervous system
CABA-201,
leuprolide acetate,L - Antineoplastic and immunomodulating agents
Gecacitinib,
C402-CD19-CAR,L - Antineoplastic and immunomodulating agents
leuprolide Injection,L - Antineoplastic and immunomodulating agents
Gaviscon,A - Alimentary tract and metabolism
C2402,
leuprolide,L - Antineoplastic and immunomodulating agents
Garlic powder standardized to allicin,
C134,
leucovorin calcium,V - Various
Garetosmab,
C1 esterase inhibitor,B - Blood and blood forming organs
leucovorin,V - Various
Gardenia jasminoides fruit extract,
C-Time,S - Sensory organs
C-Time,G - Genito urinary system and sex hormones
C-Time,A - Alimentary tract and metabolism
leucine,B - Blood and blood forming organs
Gardasil 9,J - Antiinfectives for systemic use
C-CAR168,
lettuce allergenic extract,V - Various
Gardasil,J - Antiinfectives for systemic use
C,
letrozole 2.5 MG,L - Antineoplastic and immunomodulating agents
Garcinia mangostana fruit extract,
Bypassing Agents,B - Blood and blood forming organs
letrozole,L - Antineoplastic and immunomodulating agents
Ganyan1,
Bylvay,A - Alimentary tract and metabolism
letermovir 480 MG,J - Antiinfectives for systemic use
Ganwei®,
Byetta,A - Alimentary tract and metabolism
letermovir,J - Antiinfectives for systemic use
Ganciclovir (GCV),S - Sensory organs
Ganciclovir (GCV),J - Antiinfectives for systemic use
Bydureon,A - Alimentary tract and metabolism
lesinurad,M - Musculo-skeletal system
Gammagard,J - Antiinfectives for systemic use
Gammagard,B - Blood and blood forming organs
Butylphthalide and Sodium Chloride Injection,
lenvatinib plus pembrolizumab,L - Antineoplastic and immunomodulating agents
Gamma-Delta T cell injection,
Busulfan (conditioning for ALLO Transplant),L - Antineoplastic and immunomodulating agents
lenvatinib 4 MG,L - Antineoplastic and immunomodulating agents
Gallium Ga,
Bupropion-Naltrexone-Metformin,N - Nervous system
Bupropion-Naltrexone-Metformin,A - Alimentary tract and metabolism
lenvatinib,L - Antineoplastic and immunomodulating agents
Gallium (68Ga) gozetotide,V - Various
Bupropion-Naltrexone,N - Nervous system
Bupropion-Naltrexone,A - Alimentary tract and metabolism
lentil seed extract,
Gadavist,
Buprenorphine transdermal patch,N - Nervous system
leniolisib,L - Antineoplastic and immunomodulating agents
GZR4 injection,
Bupivacaine %0.25 (isobaric),
lenalidomide 25 MG,L - Antineoplastic and immunomodulating agents
GZR4,
Bupivacain,N - Nervous system
lenalidomide 20 MG,L - Antineoplastic and immunomodulating agents
GZR18 injection、[14C]GZR18 injection,
Buffered Lidocaine (1% Lidocaine +,
lenalidomide,L - Antineoplastic and immunomodulating agents
"GZR18 injection,digoxin tablets, rosuvastatin calcium tablets and warfarin sodium tablets",C - Cardiovascular system
Buffered Lidocaine,
lenacapavir,J - Antiinfectives for systemic use
GZR18 injection,
Budoprutug,
lemon peel extract,
GZR18 and metformin,A - Alimentary tract and metabolism
Budigalimab,
lemon oil,
GZR18,
Budesonide/formoterol,D - Dermatologicals
Budesonide/formoterol,A - Alimentary tract and metabolism
Budesonide/formoterol,R - Respiratory system
lemon juice,
GZR102 injection,
Budesonide/Glycopyrronium/Formoterol (BGF),D - Dermatologicals
Budesonide/Glycopyrronium/Formoterol (BGF),A - Alimentary tract and metabolism
Budesonide/Glycopyrronium/Formoterol (BGF),R - Respiratory system
lemon extract,
GZR102,
Budesonide/Formoterol,D - Dermatologicals
Budesonide/Formoterol,A - Alimentary tract and metabolism
Budesonide/Formoterol,R - Respiratory system
lemborexant 5 MG,N - Nervous system
GW117 Tablets,
Budesonide inhalant,D - Dermatologicals
Budesonide inhalant,A - Alimentary tract and metabolism
Budesonide inhalant,R - Respiratory system
lemborexant 10 MG,N - Nervous system
GW117 ODT,
Budesonide Nasal Spray therapy,D - Dermatologicals
Budesonide Nasal Spray therapy,A - Alimentary tract and metabolism
Budesonide Nasal Spray therapy,R - Respiratory system
lemborexant,N - Nervous system
GVAX,
Buccal midazolam,N - Nervous system
leflunomide 20 MG,L - Antineoplastic and immunomodulating agents
GV20-0251,
Buccal Film,
leflunomide 10 MG,L - Antineoplastic and immunomodulating agents
GTB-360,
BuCy,
leflunomide,L - Antineoplastic and immunomodulating agents
GT20029 Tincture,
Bruton's tyrosine kinase inhibitor,
lefamulin,J - Antiinfectives for systemic use
GT-02287,
Bronchodilators inhalation,
ledipasvir 90 MG,J - Antiinfectives for systemic use
GSK5784283,
Bromfenac Sodium,S - Sensory organs
ledipasvir / sofosbuvir,J - Antiinfectives for systemic use
GSK4771261,
Brixadi,N - Nervous system
ledipasvir,J - Antiinfectives for systemic use
GSK4528287,
Brivudine,J - Antiinfectives for systemic use
ledikite,
GSK4527363,
Brivaracetam Oral Solution (Test Formulation),N - Nervous system
lecithin,D - Dermatologicals
GSK4527226,
Brivaracetam Oral Solution (Reference Formulation),N - Nervous system
lecanemab-irmb,N - Nervous system
GSK4418959,
Briquilimab,
lecanemab,N - Nervous system
GS-0151,
Brineura,A - Alimentary tract and metabolism
lebrikizumab,D - Dermatologicals
GROWTH FACTOR RECEPTOR-BOUND PROTEIN 2,
Brimonidine,S - Sensory organs
Brimonidine,D - Dermatologicals
lazertinib 240 MG,L - Antineoplastic and immunomodulating agents
GR2001,
Brilinta,B - Blood and blood forming organs
lazertinib,L - Antineoplastic and immunomodulating agents
GR1802 injection,
Bridion,V - Various
lavender oil,N - Nervous system
GPC3-CART cells,
Breyanzi,L - Antineoplastic and immunomodulating agents
lavender extract,
GPC3 CD146 CAR-T cells,L - Antineoplastic and immunomodulating agents
Brexafemme,J - Antiinfectives for systemic use
vecuronium,M - Musculo-skeletal system
mometasone furoate,D - Dermatologicals
mometasone furoate,R - Respiratory system
brinzolamide,S - Sensory organs
peginterferon alfa-2a,L - Antineoplastic and immunomodulating agents
gamma-aminobutyric acid,
colestipol,C - Cardiovascular system
amikacin sulfate,S - Sensory organs
amikacin sulfate,D - Dermatologicals
amikacin sulfate,J - Antiinfectives for systemic use
Regorafenib and tislelizumab,L - Antineoplastic and immunomodulating agents
vasopressin - standard initiation,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
mometasone,D - Dermatologicals
mometasone,R - Respiratory system
brincidofovir,J - Antiinfectives for systemic use
pegfilgrastim-fpgk,L - Antineoplastic and immunomodulating agents
gamboge,
colesevelam,C - Cardiovascular system
amikacin,S - Sensory organs
amikacin,D - Dermatologicals
amikacin,J - Antiinfectives for systemic use
Regiocit,B - Blood and blood forming organs
Regiocit,A - Alimentary tract and metabolism
vasopressin - early initiation,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
momelotinib 200 MG,L - Antineoplastic and immunomodulating agents
brimonidine tartrate,S - Sensory organs
brimonidine tartrate,D - Dermatologicals
pegfilgrastim,L - Antineoplastic and immunomodulating agents
galsulfase,A - Alimentary tract and metabolism
colchicine Oral Solution,M - Musculo-skeletal system
amifostine,V - Various
Regimen：BIC+FTC+TAF,
vasopressin (USP),"H - Systemic hormonal preparations, excluding sex hormones and insulins"
momelotinib,L - Antineoplastic and immunomodulating agents
brimonidine / timolol,S - Sensory organs
brimonidine / timolol,D - Dermatologicals
brimonidine / timolol,C - Cardiovascular system
pegcetacoplan Injection,L - Antineoplastic and immunomodulating agents
pegcetacoplan Injection,S - Sensory organs
galectin-3,
colchicine 0.6 MG,M - Musculo-skeletal system
amifampridine phosphate,N - Nervous system
Refresh Optive MEGA-3,
vasoactive intestinal peptide,
molybdenum,
brimonidine,S - Sensory organs
brimonidine,D - Dermatologicals
pegcetacoplan,L - Antineoplastic and immunomodulating agents
pegcetacoplan,S - Sensory organs
galcanezumab,N - Nervous system
colchicine 0.5 MG,M - Musculo-skeletal system
amifampridine,N - Nervous system
Reference: Follitropin alfa,G - Genito urinary system and sex hormones
vasicinone,
molnupiravir,J - Antiinfectives for systemic use
brilliant green,
pegaspargase,L - Antineoplastic and immunomodulating agents
galantamine 4 MG,N - Nervous system
colchicine,M - Musculo-skeletal system
amdinocillin pivoxil,J - Antiinfectives for systemic use
Reference preparation：Methylcholine chloroacetate for inhalation（Provocholine）,
varicella-zoster immune globulin,J - Antiinfectives for systemic use
molindone,N - Nervous system
brilliant blue FCF,
pectin,A - Alimentary tract and metabolism
galantamine,N - Nervous system
coffee bean allergenic extract,
amdinocillin,J - Antiinfectives for systemic use
Reference Drug,
varicella zoster virus glycoprotein E,J - Antiinfectives for systemic use
molasses,
brillant blue,
pecan pollen extract,V - Various
galactose,V - Various
codeine phosphate,M - Musculo-skeletal system
codeine phosphate,N - Nervous system
codeine phosphate,R - Respiratory system
amcinonide,D - Dermatologicals
Reference Dentifrice (Crest Cavity Protection Regular),A - Alimentary tract and metabolism
varenicline Pill,S - Sensory organs
varenicline Pill,N - Nervous system
mogamulizumab,L - Antineoplastic and immunomodulating agents
brigatinib 180 MG,L - Antineoplastic and immunomodulating agents
pear preparation,
gadoxetate disodium,
codeine,M - Musculo-skeletal system
codeine,N - Nervous system
codeine,R - Respiratory system
ambroxol,R - Respiratory system
Reference Dentifrice,
varenicline Nasal Spray,S - Sensory organs
varenicline Nasal Spray,N - Nervous system
modified Vaccinia Ankara-Bavarian Nordic,
brigatinib,L - Antineoplastic and immunomodulating agents
peanut oil,
gadoteridol,V - Various
cod liver oil,A - Alimentary tract and metabolism
ambrisentan,C - Cardiovascular system
Reference (R),
varenicline 1 MG,S - Sensory organs
varenicline 1 MG,N - Nervous system
modified FOLFIRINOX (mFOLFIRINOX),
brexucabtagene autoleucel,L - Antineoplastic and immunomodulating agents
peanut allergenic extract,V - Various
gadoterate meglumine,
coconut oil,
amber,
Reduning injection,
varenicline,S - Sensory organs
varenicline,N - Nervous system
modafinil 200 MG,N - Nervous system
brexpiprazole 3 MG,N - Nervous system
peach allergenic extract,V - Various
gadopiclenol,V - Various
coconut allergenic extract,V - Various
amaranth dye,
Reduced premedication (5 mg),
vardenafil,G - Genito urinary system and sex hormones
modafinil 100 MG,N - Nervous system
brexpiprazole 2 MG,N - Nervous system
pazopanib hydrochloride,L - Antineoplastic and immunomodulating agents
gadodiamide,V - Various
cocoa extract,
amantadine hydrochloride,N - Nervous system
Reduced premedication (10 mg),A - Alimentary tract and metabolism
vanzacaftor,R - Respiratory system
modafinil,N - Nervous system
brexpiprazole 1 MG,N - Nervous system
pazopanib,L - Antineoplastic and immunomodulating agents
gadobutrol,V - Various
cocoa butter,D - Dermatologicals
cocoa butter,C - Cardiovascular system
amantadine,N - Nervous system
Reduced Dose of Chemotherapy and Immunotherapy,
vanillin,
mobocertinib,L - Antineoplastic and immunomodulating agents
brexpiprazole,N - Nervous system
patisiran,N - Nervous system
gadobenate dimeglumine,
coco glucoside,
alvimopan 12 MG,A - Alimentary tract and metabolism
Reduced ATG plus mini PTCy,
vanilla bean allergenic extract,V - Various
mitoxantrone hydrochloride liposome,L - Antineoplastic and immunomodulating agents
brexanolone,N - Nervous system
patiromer,V - Various
gabapentin 600 MG,N - Nervous system
cocamidopropyl betaine,
alvimopan,A - Alimentary tract and metabolism
Rectus Sheath Block with Clonidine,
vandetanib,L - Antineoplastic and immunomodulating agents
vancomycin,S - Sensory organs
vancomycin,J - Antiinfectives for systemic use
vancomycin,A - Alimentary tract and metabolism
mitoxantrone hydrochloride,L - Antineoplastic and immunomodulating agents
bretylium,C - Cardiovascular system
patients were assigned to receive TNT or iTNT management,
gabapentin 300 MG,N - Nervous system
cocaine hydrochloride,S - Sensory organs
cocaine hydrochloride,N - Nervous system
cocaine hydrochloride,R - Respiratory system
aluminum sulfate,
Rectus Sheath Block,
vancomycin hydrochloride,S - Sensory organs
vancomycin hydrochloride,J - Antiinfectives for systemic use
vancomycin hydrochloride,A - Alimentary tract and metabolism
vanadium,
mitoxantrone,L - Antineoplastic and immunomodulating agents
brentuximab vedotin,L - Antineoplastic and immunomodulating agents
patent blue violet,
gabapentin 100 MG,N - Nervous system
cocaine,S - Sensory organs
cocaine,N - Nervous system
cocaine,R - Respiratory system
aluminum stearate,
Rectointercostal facial plane block using bupivacaine,
vancomycin 500 MG,S - Sensory organs
vancomycin 500 MG,J - Antiinfectives for systemic use
vancomycin 500 MG,A - Alimentary tract and metabolism
vamorolone,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
mitotane,L - Antineoplastic and immunomodulating agents
bremelanotide,G - Genito urinary system and sex hormones
pasireotide,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
gabapentin,N - Nervous system
cobimetinib 20 MG,L - Antineoplastic and immunomodulating agents
aluminum sodium silicate,
Rectal Suppository,
vancomycin 125 MG,S - Sensory organs
vancomycin 125 MG,J - Antiinfectives for systemic use
vancomycin 125 MG,A - Alimentary tract and metabolism
valsartan Oral Solution,C - Cardiovascular system
mitomycin,L - Antineoplastic and immunomodulating agents
brazil nut allergenic extract,V - Various
parsley allergenic extract,
futibatinib,L - Antineoplastic and immunomodulating agents
cobimetinib,L - Antineoplastic and immunomodulating agents
aluminum silicate,
Rectal Ointment,
valsartan 80 MG,C - Cardiovascular system
mitapivat 50 MG,B - Blood and blood forming organs
bran,
paroxetine mesylate,N - Nervous system
furosemide Injection,C - Cardiovascular system
cobicistat 150 MG,V - Various
cobicistat 150 MG,J - Antiinfectives for systemic use
aluminum phosphate,A - Alimentary tract and metabolism
Rectal Gel,
valsartan 40 MG,C - Cardiovascular system
mitapivat,B - Blood and blood forming organs
botulinum toxin type A Injection,M - Musculo-skeletal system
paroxetine hydrochloride,N - Nervous system
furosemide 80 MG,C - Cardiovascular system
cobicistat / darunavir,V - Various
cobicistat / darunavir,J - Antiinfectives for systemic use
aluminum oxide,D - Dermatologicals
Rectal Foam,
vancomycin 1000 MG,S - Sensory organs
vancomycin 1000 MG,J - Antiinfectives for systemic use
vancomycin 1000 MG,A - Alimentary tract and metabolism
valsartan 160 MG,C - Cardiovascular system
misoprostol,M - Musculo-skeletal system
misoprostol,G - Genito urinary system and sex hormones
misoprostol,A - Alimentary tract and metabolism
botulinum toxin type A,M - Musculo-skeletal system
paroxetine,N - Nervous system
furosemide 40 MG,C - Cardiovascular system
cobicistat,V - Various
cobicistat,J - Antiinfectives for systemic use
aluminum hydroxide gel,A - Alimentary tract and metabolism
Recombinant zoster vaccine(CHO cell)(low adjuvant),J - Antiinfectives for systemic use
valsartan 103 MG,C - Cardiovascular system
mirvetuximab soravtansine-gynx,L - Antineoplastic and immunomodulating agents
boswellia preparation,
paromomycin,A - Alimentary tract and metabolism
furosemide,C - Cardiovascular system
cobamamide,B - Blood and blood forming organs
aluminum hydroxide,D - Dermatologicals
aluminum hydroxide,A - Alimentary tract and metabolism
Recombinant human endostatin,
