NCT ID,Disease,Drug Name
NCT06991257,Heart failure,Medium Dose PF-07328948
NCT06991257,Heart failure,High Dose PF-07328948
NCT06571448,Trigeminal neuralgia,SR750 tablet
NCT06571448,Trigeminal neuralgia,SR750 tablet
NCT06784648,Cutaneous melanoma,pembrolizumab (KEYTRUDA®)
NCT06784648,Cutaneous melanoma,BI-1607
NCT06784648,Cutaneous melanoma,Ipilimumab (YervoyTM
NCT06784648,Melanoma,pembrolizumab (KEYTRUDA®)
NCT06784648,Melanoma,BI-1607
NCT06784648,Melanoma,Ipilimumab (YervoyTM
NCT06784648,Uveal melanoma,pembrolizumab (KEYTRUDA®)
NCT06784648,Uveal melanoma,BI-1607
NCT06784648,Uveal melanoma,Ipilimumab (YervoyTM
NCT06782048,Gastric neoplasm,Pyrvinium
NCT06826326,Autism,Escitalopram
NCT06743126,Melanoma,IMA203
NCT06743126,Melanoma,nivolumab plus relatlimab
NCT06743126,Melanoma,lifileucel
NCT06743126,Melanoma,nivolumab
NCT06743126,Melanoma,pembrolizumab
NCT06743126,Melanoma,ipilimumab
NCT06743126,Melanoma,dacarbazine
NCT06743126,Melanoma,temozolomide
NCT06743126,Melanoma,paclitaxel
NCT06743126,Melanoma,paclitaxel plus carboplatin
NCT06743126,Melanoma,Albumin-Bound Paclitaxel
NCT06967857,Depressive disorder,DEX IR tablets
NCT06967857,Depressive disorder,DEX XL
NCT06620757,Atrial fibrillation,Single antiplatelet therapy (SAPT)
NCT06586957,Gastric carcinoma,NKT3964
NCT06586957,Ovarian cancer,NKT3964
NCT06586957,Ovarian carcinoma,NKT3964
NCT06586957,Small cell lung carcinoma,NKT3964
NCT06975748,Neurotrophic keratopathy,STSP-0902 ophthalmic solution
NCT06975748,Neurotrophic keratopathy,STSP-0902 ophthalmic solution
NCT06861348,Leukemia,Inotuzumab Ozogamicin±Donor Lymphocyte Infusion
NCT06763926,Infertility disorder,Subcutaneous Triptorelin
NCT06763926,Infertility disorder,Intranasal nafarelin
NCT06592326,Urothelial carcinoma,9MW2821
NCT06592326,Urothelial carcinoma,toripalimab
NCT06592326,Urothelial carcinoma,gemcitabine
NCT06592326,Urothelial carcinoma,Cisplatin/Carboplatin
NCT06631326,Hepatocellular carcinoma,Lenvatinib + PD-1 monoclonal antibody
NCT06934057,Renal carcinoma,nivolumab
NCT06934057,Renal carcinoma,cabozantinib
NCT06934057,Renal cell adenocarcinoma,nivolumab
NCT06934057,Renal cell adenocarcinoma,cabozantinib
NCT07107126,Childhood myelodysplastic syndrome,RPT1G
NCT07101926,Hemophilia,blood sampling
NCT06702657,Cerebrovascular disorder,medication
NCT06602557,Pneumonia,amikacin
NCT06602557,Pneumonia,Standard of care
NCT07122648,Dermatomyositis,PN-101
NCT07122648,Dermatomyositis,PN-101
NCT06701526,Migraine disorder,eptinezumab
NCT06887426,Multiple sclerosis,cladribine
NCT06887426,Secondary progressive multiple sclerosis,cladribine
NCT06633757,Primary ciliary dyskinesia,RCT1100
NCT06575257,Prostate cancer,darolutamide
NCT06575257,Prostate cancer,goserelin
NCT06848231,Multiple system atrophy,YA-101
NCT07119931,Hepatocellular carcinoma,lparomlimab and Tuvonralimab Injection in Combination with HAIC and bevacizumab
NCT06566482,Obstructive sleep apnea syndrome,Dexmedetomidine-esketamine combination
NCT06971731,Phenylketonuria,JNT-517 Tablet
NCT06971731,Phenylketonuria,JNT-517 Tablet
NCT06860282,COVID-19,remdesivir
NCT06860282,COVID-19,CX2101A
NCT07085182,Chemotherapy,SBRT combined with Tislelizumab followed by Tislelizumab
NCT07085182,Non-small cell lung carcinoma,SBRT combined with Tislelizumab followed by Tislelizumab
NCT06697431,Mucocutaneous lymph node syndrome,anakinra
NCT06697431,Mucocutaneous lymph node syndrome,"Intravenous Immunoglobulins, Human"
NCT07007182,Gastric adenocarcinoma,FLOT regimen
NCT07007182,Gastric adenocarcinoma,PD-1 Inhibitors
NCT07007182,Gastric adenocarcinoma,capecitabine
NCT07007182,Gastric adenocarcinoma,CAPEOX regimen
NCT07007182,Gastric adenocarcinoma,SOX regimen
NCT06640582,Adult glioblastoma,Tumor Infiltrating Lymphocytes (TIL)
NCT06640582,Adult glioblastoma,cyclophosphamide
NCT06640582,Adult glioblastoma,fludarabine
NCT06640582,Adult glioblastoma,Interleukin-2
NCT06640582,Adult glioblastoma,pembrolizumab
NCT06640582,Malignant glioma,Tumor Infiltrating Lymphocytes (TIL)
NCT06640582,Malignant glioma,cyclophosphamide
NCT06640582,Malignant glioma,fludarabine
NCT06640582,Malignant glioma,Interleukin-2
NCT06640582,Malignant glioma,pembrolizumab
NCT06640582,Meningioma,Tumor Infiltrating Lymphocytes (TIL)
NCT06640582,Meningioma,cyclophosphamide
NCT06640582,Meningioma,fludarabine
NCT06640582,Meningioma,Interleukin-2
NCT06640582,Meningioma,pembrolizumab
NCT06762782,Hepatocellular carcinoma,Postoperative adjuvant lenvatinib
NCT06835582,Pain,methadone
NCT06586320,Parkinson disease,150% of their routine home dopaminergic medications dose right in the clinic
NCT06918431,Precursor B-cell acute lymphoblastic leukemia,ASPARAGINASE ERWINIA CHRYSANTHEMI
NCT06918431,Precursor B-cell acute lymphoblastic leukemia,cyclophosphamide
NCT06918431,Precursor B-cell acute lymphoblastic leukemia,cytarabine
NCT06918431,Precursor B-cell acute lymphoblastic leukemia,cytarabine
NCT06918431,Precursor B-cell acute lymphoblastic leukemia,daunorubicin hydrochloride
NCT06918431,Precursor B-cell acute lymphoblastic leukemia,dexamethasone
NCT06918431,Precursor B-cell acute lymphoblastic leukemia,mercaptopurine
NCT06918431,Precursor B-cell acute lymphoblastic leukemia,methotrexate
NCT06918431,Precursor B-cell acute lymphoblastic leukemia,rituximab
NCT06918431,Precursor B-cell acute lymphoblastic leukemia,vincristine sulfate
NCT06864182,COVID-19,CX2101A tablet
NCT06864182,COVID-19,CX2101A enteric-coated tablet
NCT06710431,Anxiety,AFA-281
NCT06818331,Malignant glioma,paclitaxel
NCT06943482,Granulomatous mastitis,prednisolone
NCT06943482,Granulomatous mastitis,methotrexate
NCT06943482,Granulomatous mastitis,folic acid
NCT06943482,Granulomatous mastitis,omeprazole
NCT07099482,Type 2 diabetes mellitus,Propolis gel (10%)
NCT06852820,Hepatocellular carcinoma,Lu-PSMA-617
NCT07086820,Tuberculosis,Tuberculosis window prophylaxis with weekly rifapentine and isoniazid for
NCT07086820,Tuberculosis,Standard of care tuberculosis prophylaxis with weekly rifapentine and isoniazid for
NCT06661720,Nonpapillary renal cell carcinoma,pembrolizumab
NCT06661720,Nonpapillary renal cell carcinoma,tivozanib
NCT06703073,"Familial acute respiratory distress syndrome, ANLN-related, dog",Cohort A: vilobelimab
NCT06703073,"Familial acute respiratory distress syndrome, ANLN-related, dog",Cohort B: paridiprubart
NCT06703073,"Familial acute respiratory distress syndrome, ANLN-related, dog",Cohort C: bevacizumab
NCT06818682,Prostate carcinoma,ADT for
NCT06818682,Prostate carcinoma,ADT for
NCT06942520,Diabetic macular edema,Aflibercept (2.0 mg)
NCT06687174,IgA glomerulonephritis,MY008211A tablets
NCT06604520,Frontotemporal dementia,vortioxetine
NCT06679374,Parkinson disease,varenicline
NCT06975774,Tuberculosis,Purified Protein Derivative of BCG（BCG-PPD）
NCT06767774,Diabetes mellitus,Combination therapy
NCT06767774,Diabetes mellitus,High intensity statin monotherapy
NCT07127874,Malignant colon neoplasm,PHN-012
NCT07127874,Malignant pancreatic neoplasm,PHN-012
NCT06692465,Alopecia,GT20029 Tincture
NCT06851065,Myelodysplastic syndrome,luspatercept
NCT06851065,Myelodysplastic syndrome,Erythropoiesis-stimulating agents
NCT06973720,Obesity disorder,MET097
NCT06693674,Tetralogy of fallot,Entresto Pill
NCT06618820,Pain,tranexamic acid
NCT06752720,Cerebrovascular disorder,Stem cell Transplantation
NCT06625320,Malignant pancreatic neoplasm,RMC-6236
NCT06625320,Malignant pancreatic neoplasm,gemcitabine
NCT06625320,Malignant pancreatic neoplasm,nab-paclitaxel
NCT06625320,Malignant pancreatic neoplasm,irinotecan
NCT06625320,Malignant pancreatic neoplasm,Liposomal irinotecan
NCT06625320,Malignant pancreatic neoplasm,5-fluorouracil
NCT06625320,Malignant pancreatic neoplasm,leucovorin
NCT06625320,Malignant pancreatic neoplasm,oxaliplatin
NCT06772974,Hyperemesis gravidarum,Doxylamine Succinate USP
NCT07061574,Type 1 diabetes mellitus,Anti-thymocyte globulin (ATG)
NCT07061574,Type 1 diabetes mellitus,verapamil extended-release capsule
NCT07061574,Type 1 diabetes mellitus,adalimumab
NCT06966674,ST-elevation myocardial infarction,Intracoronary tirofiban
NCT06856174,HIV infectious disease,Transdermal estradiol gel
NCT06856174,HIV infectious disease,Micronized Progesterone
NCT06856174,Menopause,Transdermal estradiol gel
NCT06856174,Menopause,Micronized Progesterone
NCT06736574,Heart failure,Omecamtiv Mecarbil (OM)
NCT06853574,Sepsis,Fluid therapy
NCT06853574,Sepsis,Noradrenaline infusion
NCT06700720,Coronary artery disorder,Dose
NCT06700720,Coronary artery disorder,Dose
NCT06700720,Coronary artery disorder,evolocumab
NCT06699420,Coronary microvascular disorder,Qishenyiqi dripping pills
NCT06866574,Anal carcinoma,Recombinant Human Papillomavirus
NCT06866574,Anal carcinoma,Aluminum Adjuvant
NCT06866574,Anogenital human papillomavirus infection,Recombinant Human Papillomavirus
NCT06866574,Anogenital human papillomavirus infection,Aluminum Adjuvant
NCT07101120,Endogenous depression,KH607 tablets
NCT07101120,Endogenous depression,KH607 tablets
NCT07101120,Endogenous depression,KH607 tablets
NCT06970574,Cholecystitis,Levobupivacaine
NCT06902974,Post-traumatic stress disorder,Psilocybin
NCT06870565,Cervical carcinoma,paclitaxel and platinum
NCT06870565,Cervical carcinoma,platinum
NCT07085520,Osteoarthritis,Microneedle with
NCT07085520,Osteoarthritis,Microneedle with
NCT07085520,Osteoarthritis,Microneedle with
NCT07085520,Osteoporosis,Microneedle with
NCT07085520,Osteoporosis,Microneedle with
NCT07085520,Osteoporosis,Microneedle with
NCT07090174,Anal carcinoma,PDS0101
NCT07090174,Cervical carcinoma,PDS0101
NCT06951074,Type 1 diabetes mellitus,Insulin producing stem cells infusion
NCT06872320,Congenital heart disease,Lactobacillus Rhamnosus
NCT06872320,Nutritional deficiency disease,Lactobacillus Rhamnosus
NCT07075120,Hepatocellular carcinoma,Ipilimumab and Nivolumab
NCT06912074,Esophageal squamous cell carcinoma,Induction chemoimmunotherapy
NCT06912074,Esophageal squamous cell carcinoma,Concurrent Chemotherapy
NCT06649474,Adenocarcinoma,assess the serum HMGB1 concentrations before and after an oxaliplatin-based chemotherapy
NCT06649474,Malignant pancreatic neoplasm,assess the serum HMGB1 concentrations before and after an oxaliplatin-based chemotherapy
NCT06932874,Type 2 diabetes mellitus,Glucophage (Metformin Hydrochloride Tablets)
NCT06932874,Type 2 diabetes mellitus,New sustained-release metformin tablets (Ⅲ)
NCT06585527,Glioma susceptibility 1,TS-2021
NCT06585527,Malignant glioma,TS-2021
NCT06727773,Cognitive impairment,memantine
NCT06774131,Urothelial carcinoma,UGN-104
NCT07055282,Nephrolithiasis,Empagliflozin (Jardiance®)
NCT06856031,Inflammatory bowel disease,Optimized Treatment (OPT)
NCT06850831,ST-elevation myocardial infarction,Antipac
NCT06830031,Diffuse large B-cell lymphoma,C402-CD19-CAR
NCT06830031,High grade B-cell lymphoma,C402-CD19-CAR
NCT06830031,Primary mediastinal large B-cell lymphoma,C402-CD19-CAR
NCT07013682,Periodontitis,PRF as adjunct to non-surgical mechanical debridement
NCT07013682,Periodontitis,"Control, non-surgical mechanical debridement alone"
NCT06660173,Type 2 diabetes mellitus,Maridebart Cafraglutide
NCT06997731,Periodontitis,Application of minocycline and hyaluronic acid gel.
NCT06827431,Endogenous depression,Ammoxetine
NCT06827431,Endogenous depression,Ammoxetine
NCT06827431,Endogenous depression,sertraline
NCT06833931,Duchenne muscular dystrophy,IV infusion
NCT07129473,Hyperemesis gravidarum,metformin Extended Release Oral Tablet
NCT06828731,Prediabetes syndrome,Empagliflozin
NCT07095231,COVID-19,STX-S
NCT06680531,Insomnia,YZJ-1139 tablets
NCT06680531,Insomnia,Escitalopram oxalate tablets
NCT06680531,Insomnia,YZJ-1139 simulated tablets
NCT06687473,Helicobacter pylori,Bismuth-based susceptibility-guided treatment
NCT06862531,COVID-19,blood sample
NCT07066982,Sarcoma,CD146/HER2 CAR-T cells
NCT06960382,Allergic asthma,ALUTARD SQ® Felis domesticus
NCT06960382,Allergic rhinitis,ALUTARD SQ® Felis domesticus
NCT06696131,Intracerebral hemorrhage,TNK
NCT06890182,Non-small cell lung carcinoma,Firmonertinib combined with Carboplatin/Cisplatin and Pemetrexed
NCT06765876,Leukemia,Autologous CAR123 T lymphocytes
NCT06765876,Myelodysplastic syndrome,Autologous CAR123 T lymphocytes
NCT06820476,Obesity disorder,NNC0487-0111
NCT06725927,Heart failure,Influenza vaccination
NCT06634927,Type 2 diabetes mellitus,Ozempic®
NCT06634927,Type 2 diabetes mellitus,HDG1901
NCT06887127,Rheumatoid arthritis,TLL-018
NCT06570473,Pulmonary hypertension,empagliflozin
NCT06570473,Pulmonary hypertension,ranolazine
NCT07081373,Anal fistula,"A single dose of liposomal bupivacaine is administered at the conclusion of surgery without adjunctive analgesics, followed by a supplemental dose"
NCT07097831,Hyperlipidemia,HRS-1301 Tablets
NCT07097831,Hyperlipidemia,Rosuvastatin Calcium Tablets
NCT06895031,Non-small cell lung carcinoma,JYP0015
NCT06895031,Pancreatic ductal adenocarcinoma,JYP0015
NCT06994273,Analgesic,fentanyl
NCT06994273,Analgesic,dexmedetomidine
NCT06568731,Obesity disorder,Danuglipron
NCT06965231,Cutaneous melanoma,Toripalimab combined with Endostar
NCT07107373,Hypertrophic cardiomyopathy,mavacamten
NCT06702631,Pain,nitrous oxide
NCT06637631,Crohn disease,SAR441566
NCT06774274,Pain,Ketamine infusion
NCT06774274,Pain,PCA Ketamine
NCT07025174,Biliary tract cancer,PD-1/CTLA-4 Dual Functional Antibody
NCT07025174,Biliary tract cancer,"Gemcitabine, Cisplatin"
NCT07025174,Biliary tract cancer,Anlotinib
NCT07025174,Biliary tract cancer,Oxaliplatin +
NCT07025174,Cholangiocarcinoma,PD-1/CTLA-4 Dual Functional Antibody
NCT07025174,Cholangiocarcinoma,"Gemcitabine, Cisplatin"
NCT07025174,Cholangiocarcinoma,Anlotinib
NCT07025174,Cholangiocarcinoma,Oxaliplatin +
NCT06890065,Precursor B-cell acute lymphoblastic leukemia,JY231 Injection
NCT06810765,Post-traumatic stress disorder,ibogaine with magnesium treatment
NCT06810765,Post-traumatic stress disorder,5-MeO-DMT
NCT07057765,Diffuse large B-cell lymphoma,Observational Assessment of Standard R-CHOP Treatment
NCT06601465,Cognitive impairment,vericiguat
NCT06601465,Heart failure,vericiguat
NCT06766565,Non-small cell lung carcinoma,QYJD Compound Preparation
NCT06752174,Poliomyelitis,sIPV+bOPV
NCT06752174,Poliomyelitis,wIPV+bOPV
NCT06580574,Gastric carcinoma,"PD1/PDL1 antibody monotherapy, up to"
NCT06580574,Malignant colon neoplasm,"PD1/PDL1 antibody monotherapy, up to"
NCT06975865,Sickle cell disease,Rilzabrutinib
NCT06852365,Polycystic ovary syndrome,"Oral Contraceptives, Low-Dose"
NCT06841965,Cerebrovascular disorder,Intravenous thrombolysis
NCT07109765,Hidradenitis suppurativa,secukinumab
NCT07007065,Wet macular degeneration,Surabgene Lomparvovec (ABBV-RGX-314)
NCT07007065,Wet macular degeneration,Ranibizumab Control
NCT06584474,Bronchopulmonary dysplasia,Azithromycin neubilization
NCT06584474,Premature,Azithromycin neubilization
NCT06989827,Cataract,Preservative free artificial tear
NCT06887673,Endometrial cancer,MONTELUKAST SODIUM
NCT06887673,Ovarian cancer,MONTELUKAST SODIUM
NCT06887673,Sarcoma,MONTELUKAST SODIUM
NCT06767527,Triple-negative breast carcinoma,AK112
NCT06767527,Triple-negative breast carcinoma,Nab-paclitaxel
NCT06625073,Cardiovascular disorder,empagliflozin
NCT06625073,Kidney disorder,empagliflozin
NCT06581627,Sickle cell disease,Etavopivat
NCT06581627,Thalassemia,Etavopivat
NCT06666673,Cerebrovascular disorder,tizanidine
NCT06709573,Sepsis,vasopressin - early initiation
NCT06709573,Sepsis,vasopressin - standard initiation
NCT07085624,Sepsis,ceftazidime
NCT07085624,Sepsis,plasma ceftazidime dosage
NCT06955416,Diabetic ketoacidosis,Reamberin
NCT06807424,Arthritic joint disease,Icotrokinra
NCT06699524,Hepatocellular carcinoma,in vitro （chemotherapy）
NCT06811324,Weight loss,tirzepatide
NCT06719024,Vitiligo-associated multiple autoimmune disease susceptibility 1,Ruxolitinib Cream
NCT06719024,Vitiligo-associated multiple autoimmune disease susceptibility 1,Aqueous cream
NCT06629324,Autism,Autologous Bone Marrow Mononuclear Cell Transfusion
NCT06929624,Diffuse large B-cell lymphoma,SHR-A1912 Injection
NCT06929624,Diffuse large B-cell lymphoma,rituximab Injection
NCT06929624,Diffuse large B-cell lymphoma,Gemcitabine Hydrochloride for Injection
NCT06929624,Diffuse large B-cell lymphoma,oxaliplatin Injection
NCT06990516,Ovarian cancer,SHR-A1811
NCT06990516,Ovarian cancer,carboplatin
NCT06990516,Ovarian cancer,oxaliplatin
NCT06990516,Ovarian cancer,bevacizumab
NCT06942416,Cervical carcinoma,Paclitaxel and Cisplatin/ Carboplatin
NCT06942416,Cervical carcinoma,Iparomlimab and Tuvonralimab
NCT06716424,Type 2 diabetes mellitus,iGlarLixi (insulin glargine/lixisenatide)
NCT06976216,Alzheimer disease,KarXT
NCT06976216,Alzheimer disease,KarX-EC
NCT06712316,Non-small cell lung carcinoma,BNT327
NCT06712316,Non-small cell lung carcinoma,pembrolizumab
NCT06712316,Non-small cell lung carcinoma,carboplatin
NCT06712316,Non-small cell lung carcinoma,pemetrexed
NCT06712316,Non-small cell lung carcinoma,paclitaxel
NCT06789016,Scoliosis,dexmedetomidine
NCT06789016,Scoliosis,0.9%NaCl
NCT06939816,Metabolic dysfunction-associated steatohepatitis,Vonafexor low dose
NCT06939816,Metabolic dysfunction-associated steatohepatitis,Vonafexor high dose
NCT07077616,Malignant glioma,"Biological: personalized vaccine Based on genetic and transcriptional sequencing information, personalized peptide vaccines would be designed and produced"
NCT06765616,Rectal carcinoma,Adebrelimab Injection combined with radiotherapy and chemotherapy
NCT07080216,Cervical carcinoma,ZG005
NCT07080216,Cervical carcinoma,Gecacitinib
NCT07080216,Cervical carcinoma,bevacizumab
NCT06659263,Lactation,RE104 for Injection
NCT06886516,Thrombocytopenia,apixaban
NCT06633016,Endogenous depression,ABX-002
NCT06809816,Osteoporosis,Sodium pentaborate pentahydrate
NCT06900816,Asthma,CHF
NCT06900816,Asthma,CHF
NCT07095816,Analgesic,acetaminophen
NCT07095816,Analgesic,Sterilized water
NCT07095816,Neoplasm,acetaminophen
NCT07095816,Neoplasm,Sterilized water
NCT06829563,Diabetes mellitus,RZ-629
NCT06660563,Lymphoma,JNJ-80948543
NCT06660563,Lymphoma,JNJ-75348780
NCT06845163,Diabetic macular edema,dapagliflozin
NCT06845163,Diabetic macular edema,Anti-VEGF drug
NCT07097363,B-cell non-Hodgkin lymphoma,cyclophosphamide
NCT07097363,B-cell non-Hodgkin lymphoma,doxorubicin
NCT07097363,B-cell non-Hodgkin lymphoma,epcoritamab
NCT07097363,B-cell non-Hodgkin lymphoma,etoposide
NCT07097363,B-cell non-Hodgkin lymphoma,prednisone
NCT07097363,B-cell non-Hodgkin lymphoma,rituximab
NCT07097363,Burkitt lymphoma,cyclophosphamide
NCT07097363,Burkitt lymphoma,doxorubicin
NCT07097363,Burkitt lymphoma,epcoritamab
NCT07097363,Burkitt lymphoma,etoposide
NCT07097363,Burkitt lymphoma,prednisone
NCT07097363,Burkitt lymphoma,rituximab
NCT07097363,Diffuse large B-cell lymphoma,cyclophosphamide
NCT07097363,Diffuse large B-cell lymphoma,doxorubicin
NCT07097363,Diffuse large B-cell lymphoma,epcoritamab
NCT07097363,Diffuse large B-cell lymphoma,etoposide
NCT07097363,Diffuse large B-cell lymphoma,prednisone
NCT07097363,Diffuse large B-cell lymphoma,rituximab
NCT07097363,High grade B-cell lymphoma,cyclophosphamide
NCT07097363,High grade B-cell lymphoma,doxorubicin
NCT07097363,High grade B-cell lymphoma,epcoritamab
NCT07097363,High grade B-cell lymphoma,etoposide
NCT07097363,High grade B-cell lymphoma,prednisone
NCT07097363,High grade B-cell lymphoma,rituximab
NCT07097363,Primary mediastinal large B-cell lymphoma,cyclophosphamide
NCT07097363,Primary mediastinal large B-cell lymphoma,doxorubicin
NCT07097363,Primary mediastinal large B-cell lymphoma,epcoritamab
NCT07097363,Primary mediastinal large B-cell lymphoma,etoposide
NCT07097363,Primary mediastinal large B-cell lymphoma,prednisone
NCT07097363,Primary mediastinal large B-cell lymphoma,rituximab
NCT06821763,Periapical periodontitis,Calcium Hydroxide Intracanal medication
NCT06821763,Periapical periodontitis,triple antibiotic paste (TAP)
NCT06759363,Metabolic dysfunction-associated steatotic liver disease,Sodium-Butyrate
NCT06759363,Metabolic dysfunction-associated steatotic liver disease,Calcium Butyrate
NCT06577363,Cytomegalovirus,maribavir
NCT06967363,Fibromyalgia,Medication
NCT06997263,Anxiety,Melatonin
NCT06997263,Anxiety,Melatonin
NCT06903065,Metabolic dysfunction-associated steatohepatitis,RO7790121
NCT06899165,Anxiety,Psilocybin
NCT06899165,Depressive disorder,Psilocybin
NCT06753565,Rheumatoid arthritis,carnitine
NCT06753565,Rheumatoid arthritis,Disease-modifying anti-rheumatic drugs
NCT06947473,Systemic sclerosis,umbilical cord blood CD19-BCMA CAR-T cells infusion
NCT06849973,Rett syndrome,Drug: Bionetide
NCT06970665,Age-related macular degeneration,avacincaptad pegol
NCT06723665,Prostate cancer,18F-PSMA-1007
NCT06723665,Prostate cancer,18F-FDG
NCT07074665,Malaria,5µg R21/50µg Matrix-M
NCT07074665,Malaria,10µg R21/50µg Matrix-M
NCT06996730,Alzheimer disease,donanemab
NCT06996730,Alzheimer disease,RG6289
NCT06753630,Epicondylitis,Polydeoxyribonucleotide Injection
NCT06741930,Epilepsy,ketamine
NCT06741930,Epilepsy,midazolam
NCT06741930,Epilepsy,propofol
NCT06741930,Seizure,ketamine
NCT06741930,Seizure,midazolam
NCT06741930,Seizure,propofol
NCT06901830,Pain,YZJ-4729
NCT06901830,Pain,Active Comparator: Morphine
NCT07061925,Bronchitis,ALC-2203-1
NCT07061925,Bronchitis,ALC-2203-2
NCT07061925,Bronchitis,ALC-2203-AC
NCT07061925,Bronchitis,Placabo
NCT06993025,Biliary tract cancer,Ivonescimab+chemotherapy
NCT06955325,Non-small cell lung carcinoma,Icotinib
NCT06955325,Non-small cell lung carcinoma,Rezivertinib
NCT06955325,Non-small cell lung carcinoma,ensartinib
NCT06955325,Non-small cell lung carcinoma,Benmelstobart
NCT07100925,Skin squamous cell carcinoma,tolododekin alfa
NCT06739265,Mature T-cell and NK-cell non-Hodgkin lymphoma,Golidocitinib plus CHOP
NCT07035665,IgA glomerulonephritis,HRS-5965 Capsules
NCT07035665,Paroxysmal nocturnal hemoglobinuria,HRS-5965 Capsules
NCT06916065,Obesity disorder,Eloralintide and Tirzepatide
NCT06916065,Obesity disorder,Eloralintide
NCT06671665,Osteopenia,calcium supplementation
NCT07104565,Autoimmune thrombocytopenic purpura,INCA000585
NCT07021365,Coccygodynia,Phenol Injection
NCT06758024,Inflammatory bowel disease,infliximab
NCT06758024,Inflammatory bowel disease,infliximab
NCT06622824,Androgenetic alopecia,KX-826
NCT06622824,Androgenetic alopecia,KX-826
NCT06686524,Dermatomyositis,Anti-CD19 UCAR-T cells
NCT06657924,Thromboembolism,tranexamic acid
NCT07086924,Psoriasis,methotrexate
NCT07086924,Psoriatic arthritis,methotrexate
NCT07011524,Asthma,CM512 injection
NCT06798324,Nicotine dependence,Varenicline
NCT07106125,Urinary tract infection,Trimethoprim-Sulfamethoxazole (TMP-SMX)
NCT06959225,Hidradenitis suppurativa,Ruxolitinib Cream
NCT06897930,Lupus erythematosus,AZD0120
NCT06897930,Lupus erythematosus,cyclophosphamide
NCT06897930,Lupus erythematosus,fludarabine
NCT06701825,Kidney disorder,tacrolimus
NCT06701825,Kidney disorder,tacrolimus
NCT06649825,Classic familial adenomatous polyposis,Vitamin B1
NCT07098663,Obesity disorder,MKP10241
NCT07098663,Type 2 diabetes mellitus,MKP10241
NCT07016763,Allergic rhinitis,Mometasone Furoate Nasal Spray (MFNS)
NCT06807463,Celiac disease,TEV-53408
NCT07024563,"IgA nephropathy, susceptibility to, 1",ravulizumab
NCT07068763,Rectal carcinoma,capecitabine
NCT07068763,Rectal carcinoma,PD-1/CTLA-4 inhibitor (Aiparolitoworixureli injection)
NCT06982963,Celiac disease,FB102
NCT07083765,Hypertensive disorder,"Dehydrated Alcohol Injection, USP"
NCT07087106,Multiple sclerosis,[F-18]FDG
NCT06909006,Weight loss,Semaglutide
NCT07029906,Heart failure,Bisoprolol
NCT06784206,Small cell lung carcinoma,Adebrelimab Maintenance Therapy After Concurrent Chemoradiotherapy with Hyperfractionated Radiotherapy
NCT06672549,Obesity disorder,Orforglipron
NCT06876649,B-cell chronic lymphocytic leukemia,pirtobrutinib
NCT06876649,Non-Hodgkin lymphoma,pirtobrutinib
NCT06998706,Interstitial lung disease,REGEND001 Autologous Basal Layer Stem Cell Suspension
NCT07031206,Anxiety,Paracervical block- Lidocaine without epinephrine
NCT07031206,Anxiety,Benzocaine Gel applied to the cervix
NCT07031206,Anxiety,hydroxyzine hydrochloride
NCT07031206,Pain,Paracervical block- Lidocaine without epinephrine
NCT07031206,Pain,Benzocaine Gel applied to the cervix
NCT07031206,Pain,hydroxyzine hydrochloride
NCT06872606,Rectum adenocarcinoma,Pucotenlimab
NCT06872606,Rectum adenocarcinoma,bevacizumab
NCT06872606,Rectum adenocarcinoma,oxaliplatin
NCT06872606,Rectum adenocarcinoma,Trifluridine/Tipiracil Hydrochloride
NCT07114406,Digestive system disorder,PBK_M2502
NCT07114406,Digestive system disorder,PBK_M2502
NCT07124299,Nephrolithiasis,Experimental: Alpha-blocker group
NCT07124299,Nephrolithiasis,No intervention (observational study)
NCT07071636,Metabolic dysfunction-associated steatotic liver disease,Peg-IFN α-2b combined with NAs
NCT06984536,Childhood myelodysplastic syndrome,Reduced ATG plus mini PTCy
NCT06785636,Prostate cancer,Pocenbrodib
NCT06785636,Prostate cancer,Cohort
NCT06920849,Periodontal disorder,SRP+iPRF
NCT06920849,Periodontitis,SRP+iPRF
NCT07057349,Metastatic malignant neoplasm,[18F]CSB-321
NCT07014449,Hematopoietic and lymphoid cell neoplasm,WBC100 QD
NCT07097506,Metabolic dysfunction-associated steatotic liver disease,"bis-octanoyl (R)-1,3-butanediol (C8 ketone di-ester)"
NCT07097506,Obesity disorder,"bis-octanoyl (R)-1,3-butanediol (C8 ketone di-ester)"
NCT06600906,Pancreatic ductal adenocarcinoma,Hyperpolarized
NCT06709313,Diabetes mellitus,Chromium
NCT06731036,Fanconi anemia,CD34+ cell enriched stem cell graft
NCT06731036,Sickle cell disease,CD34+ cell enriched stem cell graft
NCT06712836,Obesity disorder,MET097
NCT07049549,Periodontitis,Injectable PRF
NCT06867549,Depressive disorder,propofol
NCT07062549,Nonpapillary renal cell carcinoma,111In-XYIMSR-01
NCT07123506,Atrial fibrillation,Beta-blocker treatment group
NCT07123506,Atrial fibrillation,Non-treatment group
NCT07123506,Tachycardia,Beta-blocker treatment group
NCT07123506,Tachycardia,Non-treatment group
NCT07066306,Vomiting,ketamine
NCT07066306,Vomiting,Articaine Hydrochloride + Epinephrine
NCT07053306,Type 2 diabetes mellitus,empagliflozin
